Number of Probes	Iterations	Solution Time	Matrix Time
3	4	0.000254	0.015313
4	8	0.000407	0.017566
5	12	0.000585	0.020639
6	15	0.000770	0.024905
7	26	0.001199	0.029907
8	53	0.002635	0.036548
9	64	0.003974	0.040966
10	91	0.004098	0.047787
11	114	0.006806	0.057584
12	203	0.009936	0.066473
13	181	0.008743	0.091074
14	378	0.019400	0.106506
15	384	0.019103	0.119500
16	1400	0.075225	0.143334
17	536	0.027195	0.174029
18	1164	0.060127	0.192077
19	641	0.036196	0.220764
20	1563	0.085680	0.253720
21	1011	0.059373	0.303503
22	1779	0.100374	0.325184
23	1790	0.100328	0.379290
24	3763	0.213383	0.426126
25	11939	0.705080	0.478404
26	13015	0.771804	0.629148
27	16970	1.078077	0.574838
28	10604	0.694071	0.719164
29	161401	9.799409	0.758951
30	197798	12.333582	0.729529
31	57414	3.637845	0.956129
32	128463	8.373518	0.855882
33	25984	1.728944	1.168496
34	17772	1.211705	1.493715
35	79974	5.301927	1.467986
36	1525854	108.591934	2.376506
37	85649	5.940890	2.323229
38	270286	20.191010	2.807737
39	341558	24.649932	2.619633
40	466075	34.669457	2.617222
