Number of Probes	Iterations	Solution Time	Matrix Time
4	8	0.000417	0.017632
5	13	0.000611	0.020797
6	19	0.000935	0.024429
7	25	0.001132	0.029666
8	35	0.001701	0.037587
9	41	0.001997	0.044167
10	58	0.002804	0.050141
11	76	0.003759	0.060846
12	97	0.004445	0.081586
13	120	0.005950	0.094329
14	271	0.013098	0.108983
15	325	0.016098	0.128295
16	260	0.013432	0.152681
17	275	0.014292	0.180738
18	320	0.017249	0.208447
19	342	0.019662	0.231998
20	792	0.040847	0.266172
21	1342	0.075713	0.321203
22	775	0.045677	0.350822
23	2099	0.114607	0.508567
24	2784	0.155564	0.447756
25	2060	0.126302	0.521286
26	5577	0.318157	0.661376
27	1836	0.115518	0.648128
28	5224	0.333323	0.761312
29	23711	1.542981	0.754796
30	23791	1.443952	0.956886
31	10868	0.681665	1.109768
32	7793	0.490528	1.351729
33	14463	0.965304	1.661414
34	15233	1.024567	1.295666
35	14201	0.953819	1.512524
36	56958	3.846472	2.229381
37	35227	2.365451	2.178576
38	45407	3.137719	2.729425
39	71132	4.933777	2.204903
40	129334	9.269102	6.126264
